Hello Привет
World Мир
Include Включать
Boy Мальчик
Cat Кот
Dog Собака
Able Способный
Abroad За_границу
Beetle Жук
Charge Заряжать
Apple Яблоко
Believe Верить
Book Книга
Pen Ручка
Moon Луна
Sun Солнце
Door Дверь
Phone Телефон
List Список
Dictionary Словарь
T-shirt Футболка
Supernatural Сверхъестественный
Draw Рисовать
Designer Дизайнер
Love Любовь
Kiss Поцелуй
Laugh Смеяться
Photo Фото
Lawyer Адвокат
Law Закон
Court Суд
Window Окно
Hadehog Ёж
Revise Повторять
Major Главный
UFO НЛО
Crash Авария
Witness Свидетель
An_offence Правонарушение
Accelerator Педаль_газа
Clutch Сцепление
Engine Двигатель
Steam Пар
Amazed Потрясно
Woman Женщина
Girl Девочка
Man Мужчина
Yellow Жёлтый
Line Линия
